# KBS Insect Collection
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/69
# The newest version of the data https://lter.kbs.msu.edu/datatables/69.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/28.eml
#
# 
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# Order		taxonomic order of the organism
# Family		taxonomic family of the organism
# Genus		taxonomic genus of the organism
# SpecificEpithet		taxonomic specific epithet of the organism
# Author		party responsible for the formal description of the organism
# CommonName		a common name of the organism
# Comments		comments for this record
# IdentifyingCharacteristics		identifying characteristics
# CommonGroup		a common group to which this organism belongs
# FunctionalGroup		a functional group to which this organism belongs
# Hosts		hosts
# LifeHistory		life history
# Habitat		habitat in which this organism occurs
# GeographicDistribution		geographic distribution of this organism
# Origin		native to North America, or exotic
# Species		a code for identifying this species, unique within the KBS namespace
# Specimen		a code for uniquely identifying this specimen
# StorageLocation		where the specimen is stored; 'photo only' if specimen was photographed but not collected
# Stage_Sex		life history stage and/or sex of the specimen
# Treatment		LTER treatment in which the specimen was encountered
# Replicate		LTER replicate plot (nested within treatment) in which the specimen was encountered
# Collector		person who collected the specimen
# img_src		URL for a digital image of the specimen
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#
#
Order,Family,Genus,SpecificEpithet,Author,CommonName,Comments,IdentifyingCharacteristics,CommonGroup,FunctionalGroup,Hosts,LifeHistory,Habitat,GeographicDistribution,Origin,Species,Specimen,StorageLocation,Stage_Sex,Treatment,Replicate,Collector,img_src
Homoptera,Aphididae,Aphididae genera,,,aphids,,1-5 mm length; pearlike shape; all have fairly long  antennae and a pair of tubular dorsal structures called cornicles at the end of the abdomen; adults usually hold wings vertically above body at rest; soft-bodied; often many stages of life cycle can be seen together.,aphids,herbivore,varied,"complex and variable life histories; most have asexual reproduction during spring, giving birth to several generations of live female young which are usually wingless, and feed together on some common host plant; eventually winged forms are produced which may migrate to a different species of host plant and continue to reproduce; finally in the fall they move again to the first host plant species, both males and females are produced, mate, and produce eggs that overwinter and hatch in the spring; serious pests of crops and other plants, cause wilting by feeding on sap from stems or leaves causes; also serious disease vectors; many produce a sticky sugary substance which allows them to have a mutualism with ants in which the ants protect them and feed on the substance.",varied,family Aphididae globally distributed.,unspecified,aphspe,80,KBS Biocollections(Stack rm. 236),all stages,A2 East,unspecified,Puja Batra,http://lter.kbs.msu.edu/biocollections/insects/0080-14-10.jpg
Homoptera,Aphididae,Aphididae genera,,,aphids,,1-5 mm length; pearlike shape; all have fairly long  antennae and a pair of tubular dorsal structures called cornicles at the end of the abdomen; adults usually hold wings vertically above body at rest; soft-bodied; often many stages of life cycle can be seen together.,aphids,herbivore,varied,"complex and variable life histories; most have asexual reproduction during spring, giving birth to several generations of live female young which are usually wingless, and feed together on some common host plant; eventually winged forms are produced which may migrate to a different species of host plant and continue to reproduce; finally in the fall they move again to the first host plant species, both males and females are produced, mate, and produce eggs that overwinter and hatch in the spring; serious pests of crops and other plants, cause wilting by feeding on sap from stems or leaves causes; also serious disease vectors; many produce a sticky sugary substance which allows them to have a mutualism with ants in which the ants protect them and feed on the substance.",varied,family Aphididae globally distributed.,unspecified,aphspe,59,KBS Biocollections(Stack rm. 236),all stages,A2 West,unspecified,Puja Batra,http://lter.kbs.msu.edu/biocollections/insects/0059-10-8.jpg
Homoptera,Aphididae,Aphididae genera,,,aphids,,1-5 mm length; pearlike shape; all have fairly long  antennae and a pair of tubular dorsal structures called cornicles at the end of the abdomen; adults usually hold wings vertically above body at rest; soft-bodied; often many stages of life cycle can be seen together.,aphids,herbivore,varied,"complex and variable life histories; most have asexual reproduction during spring, giving birth to several generations of live female young which are usually wingless, and feed together on some common host plant; eventually winged forms are produced which may migrate to a different species of host plant and continue to reproduce; finally in the fall they move again to the first host plant species, both males and females are produced, mate, and produce eggs that overwinter and hatch in the spring; serious pests of crops and other plants, cause wilting by feeding on sap from stems or leaves causes; also serious disease vectors; many produce a sticky sugary substance which allows them to have a mutualism with ants in which the ants protect them and feed on the substance.",varied,family Aphididae globally distributed.,unspecified,aphspe,113,KBS Biocollections(Stack rm. 236),all stages,T4,R2,Puja Batra,http://lter.kbs.msu.edu/biocollections/insects/0113-19-16.jpg
Homoptera,Aphididae,Aphididae genera,,,aphids,,1-5 mm length; pearlike shape; all have fairly long  antennae and a pair of tubular dorsal structures called cornicles at the end of the abdomen; adults usually hold wings vertically above body at rest; soft-bodied; often many stages of life cycle can be seen together.,aphids,herbivore,varied,"complex and variable life histories; most have asexual reproduction during spring, giving birth to several generations of live female young which are usually wingless, and feed together on some common host plant; eventually winged forms are produced which may migrate to a different species of host plant and continue to reproduce; finally in the fall they move again to the first host plant species, both males and females are produced, mate, and produce eggs that overwinter and hatch in the spring; serious pests of crops and other plants, cause wilting by feeding on sap from stems or leaves causes; also serious disease vectors; many produce a sticky sugary substance which allows them to have a mutualism with ants in which the ants protect them and feed on the substance.",varied,family Aphididae globally distributed.,unspecified,aphspe,478,unspecified,,T7,R2,,http://lter.kbs.msu.edu/biocollections/insects/43-44-6-18.jpg
Homoptera,Aphididae,Aphididae genera,,,aphids,,1-5 mm length; pearlike shape; all have fairly long  antennae and a pair of tubular dorsal structures called cornicles at the end of the abdomen; adults usually hold wings vertically above body at rest; soft-bodied; often many stages of life cycle can be seen together.,aphids,herbivore,varied,"complex and variable life histories; most have asexual reproduction during spring, giving birth to several generations of live female young which are usually wingless, and feed together on some common host plant; eventually winged forms are produced which may migrate to a different species of host plant and continue to reproduce; finally in the fall they move again to the first host plant species, both males and females are produced, mate, and produce eggs that overwinter and hatch in the spring; serious pests of crops and other plants, cause wilting by feeding on sap from stems or leaves causes; also serious disease vectors; many produce a sticky sugary substance which allows them to have a mutualism with ants in which the ants protect them and feed on the substance.",varied,family Aphididae globally distributed.,unspecified,aphspe,482,unspecified,,T7,R2,,http://lter.kbs.msu.edu/biocollections/insects/0043-0044-6-27.jpg
Homoptera,Aphididae,Aphididae genera,,,aphids,,1-5 mm length; pearlike shape; all have fairly long  antennae and a pair of tubular dorsal structures called cornicles at the end of the abdomen; adults usually hold wings vertically above body at rest; soft-bodied; often many stages of life cycle can be seen together.,aphids,herbivore,varied,"complex and variable life histories; most have asexual reproduction during spring, giving birth to several generations of live female young which are usually wingless, and feed together on some common host plant; eventually winged forms are produced which may migrate to a different species of host plant and continue to reproduce; finally in the fall they move again to the first host plant species, both males and females are produced, mate, and produce eggs that overwinter and hatch in the spring; serious pests of crops and other plants, cause wilting by feeding on sap from stems or leaves causes; also serious disease vectors; many produce a sticky sugary substance which allows them to have a mutualism with ants in which the ants protect them and feed on the substance.",varied,family Aphididae globally distributed.,unspecified,aphspe,477,unspecified,,T7,R2,,http://lter.kbs.msu.edu/biocollections/insects/43-44-6-25.jpg
Homoptera,Aphididae,Aphididae genera,,,aphids,,1-5 mm length; pearlike shape; all have fairly long  antennae and a pair of tubular dorsal structures called cornicles at the end of the abdomen; adults usually hold wings vertically above body at rest; soft-bodied; often many stages of life cycle can be seen together.,aphids,herbivore,varied,"complex and variable life histories; most have asexual reproduction during spring, giving birth to several generations of live female young which are usually wingless, and feed together on some common host plant; eventually winged forms are produced which may migrate to a different species of host plant and continue to reproduce; finally in the fall they move again to the first host plant species, both males and females are produced, mate, and produce eggs that overwinter and hatch in the spring; serious pests of crops and other plants, cause wilting by feeding on sap from stems or leaves causes; also serious disease vectors; many produce a sticky sugary substance which allows them to have a mutualism with ants in which the ants protect them and feed on the substance.",varied,family Aphididae globally distributed.,unspecified,aphspe,476,unspecified,,T7,R2,,http://lter.kbs.msu.edu/biocollections/insects/43-44-6-29.jpg
Homoptera,Aphididae,Aphididae genera,,,aphids,,1-5 mm length; pearlike shape; all have fairly long  antennae and a pair of tubular dorsal structures called cornicles at the end of the abdomen; adults usually hold wings vertically above body at rest; soft-bodied; often many stages of life cycle can be seen together.,aphids,herbivore,varied,"complex and variable life histories; most have asexual reproduction during spring, giving birth to several generations of live female young which are usually wingless, and feed together on some common host plant; eventually winged forms are produced which may migrate to a different species of host plant and continue to reproduce; finally in the fall they move again to the first host plant species, both males and females are produced, mate, and produce eggs that overwinter and hatch in the spring; serious pests of crops and other plants, cause wilting by feeding on sap from stems or leaves causes; also serious disease vectors; many produce a sticky sugary substance which allows them to have a mutualism with ants in which the ants protect them and feed on the substance.",varied,family Aphididae globally distributed.,unspecified,aphspe,43,KBS Biocollections(Stack rm. 236),all stages,T7,R2,Puja Batra,
Hymenoptera,Apidae,Apis,mellifera,Fabricius,honey bee,,"12 mm length; yellowish-brown body, dense hairs on body.","wasps, ants, and bees",pollinator,,"introduced from Europe; important pollinator of crops and herbaceous vegetation; domesticated in man-made hives, kept as pollinators and for honey production; live in colonies with one reproductive individual; colonies may overwinter by clustering inside hive; diet comprised of floral nectar and pollen, all immature stages are fed by adult workers.",fields,native to Europe and Africa,exotic,apimel,48,KBS,adult,T7,R2,Puja Batra,http://lter.kbs.msu.edu/biocollections/insects/0048-7-12.jpg
Hymenoptera,Apidae,Bombus,species,,bumblebee,,many species in North America; body robust; densely covered with hairs in black and yellow bands,"wasps, ants, and bees",pollinator,,"young mated queens overwinter in the ground; in spring a female builds a nest in the ground and lays eggs; larvae feed on honey and pollen and pupate after ten days or so; they emerge into non-reproductive female adults, and later in the season males and young queens are produced; bumblebees are important pollinators of many crops and native plants; many species occur throughout the temperate zones of the world.",,,unspecified,bomspe,446,unspecified,,T5,R5,,http://lter.kbs.msu.edu/biocollections/insects/990807-35.jpg
Hymenoptera,Apidae,Bombus,species,,bumblebee,,many species in North America; body robust; densely covered with hairs in black and yellow bands,"wasps, ants, and bees",pollinator,,"young mated queens overwinter in the ground; in spring a female builds a nest in the ground and lays eggs; larvae feed on honey and pollen and pupate after ten days or so; they emerge into non-reproductive female adults, and later in the season males and young queens are produced; bumblebees are important pollinators of many crops and native plants; many species occur throughout the temperate zones of the world.",,,unspecified,bomspe,413,unspecified,,T5,R6,,http://lter.kbs.msu.edu/biocollections/insects/990825-6c.jpg
Hymenoptera,Apidae,Bombus,species,,bumblebee,,many species in North America; body robust; densely covered with hairs in black and yellow bands,"wasps, ants, and bees",pollinator,,"young mated queens overwinter in the ground; in spring a female builds a nest in the ground and lays eggs; larvae feed on honey and pollen and pupate after ten days or so; they emerge into non-reproductive female adults, and later in the season males and young queens are produced; bumblebees are important pollinators of many crops and native plants; many species occur throughout the temperate zones of the world.",,,unspecified,bomspe,454,unspecified,,,,,http://lter.kbs.msu.edu/biocollections/insects/xxxx-7-35.jpg
Lepidoptera,Arctiidae,Estigmene,acraea,Drury,salt marsh caterpillar,,,unspecified,herbivore,,,,,unspecified,estacr,371,KBS Biocollections(Stack rm. 236),adult,T1,R3,Jennifer Gage,
Lepidoptera,Arctiidae,Euchaetes,egle,Drury,Milkweed tussock moth,,"adult moths have wingspan of 35-40 mm; gray wings, yellow abdomen with black spots; larvae orange with black tufts along length of body, and white tufts at ends of body.",moths,herbivore,milkweed,larvae feed gregariously on milkweed,old fields (larvae),NE and SE U.S.,native,eucegl,114,unspecified,,T5,R3,,http://lter.kbs.msu.edu/biocollections/insects/0114-19-19.jpg
Lepidoptera,Arctiidae,Euchaetes,egle,Drury,Milkweed tussock moth,,"adult moths have wingspan of 35-40 mm; gray wings, yellow abdomen with black spots; larvae orange with black tufts along length of body, and white tufts at ends of body.",moths,herbivore,milkweed,larvae feed gregariously on milkweed,old fields (larvae),NE and SE U.S.,native,eucegl,423,unspecified,,T7,R3,,http://lter.kbs.msu.edu/biocollections/insects/990819-2a.jpg
Coleoptera,Buprestidae,Buprestidae genera,,,,,,unspecified,herbivore,,,,,unspecified,bupspe,242,KBS Biocollections(Stack rm. 236),adult,T8,unspecified,Jennifer Gage,
Odonata,Calopterygidae,Calopteryx,maculata,Beauvois,black-wing damselfly,,"males have iridescent blue-green body and black wings; females duller body coloration, wings gray with a white spot",dragonflies and damselflies,predator,,"adults can be seen resting, feeding, mating in vegetation along banks or emerging from fast flowing streams in summer; aquatic nymph stage lasts for one year",fast flowing streams,,unspecified,calmac,110,KBS Biocollections(Stack rm. 236),adult male,,,Puja Batra,http://lter.kbs.msu.edu/biocollections/insects/0110-17-23.jpg
Odonata,Calopterygidae,Calopteryx,maculata,Beauvois,black-wing damselfly,,"males have iridescent blue-green body and black wings; females duller body coloration, wings gray with a white spot",dragonflies and damselflies,predator,,"adults can be seen resting, feeding, mating in vegetation along banks or emerging from fast flowing streams in summer; aquatic nymph stage lasts for one year",fast flowing streams,,unspecified,calmac,111,KBS Biocollections(Stack rm. 236),adult female,,,Puja Batra,
Odonata,Calopterygidae,Calopteryx,maculata,Beauvois,black-wing damselfly,,"males have iridescent blue-green body and black wings; females duller body coloration, wings gray with a white spot",dragonflies and damselflies,predator,,"adults can be seen resting, feeding, mating in vegetation along banks or emerging from fast flowing streams in summer; aquatic nymph stage lasts for one year",fast flowing streams,,unspecified,calmac,479,unspecified,,,,,http://lter.kbs.msu.edu/biocollections/insects/0110-0111-18-7.jpg
Coleoptera,Cantharidae,Chauliognathus,pennsylvanicus,DeGeer,soldier beetle,,9-12mm length; elongate; head black; thorax yellow with a large black spot; elytra yellow with an oblong black spot on the apical third; ventral abdominal segments black with yellow margins.,soldier beetles,predators (larvae); possibly pollinators (adults),,adults are commonly seen in the fall on goldenrod flowers and other composites; feed on pollen and nectar; larvae are predaceous on other insect larvae.,old fields,"Eastern US, south to TX",native,chapen,120,KBS Biocollections(Stack rm. 236),adult,T5,R2,Puja Batra,http://lter.kbs.msu.edu/biocollections/insects/0120-20-25.jpg
Coleoptera,Cantharidae,Chauliognathus,pennsylvanicus,DeGeer,soldier beetle,,9-12mm length; elongate; head black; thorax yellow with a large black spot; elytra yellow with an oblong black spot on the apical third; ventral abdominal segments black with yellow margins.,soldier beetles,predators (larvae); possibly pollinators (adults),,adults are commonly seen in the fall on goldenrod flowers and other composites; feed on pollen and nectar; larvae are predaceous on other insect larvae.,old fields,"Eastern US, south to TX",native,chapen,251,KBS Biocollections(Stack rm. 236),adult,T5,R4,Jennifer Gage,
